PWSID,pws_name,SITE_NAME,TOWN,latitude,longitude,in_ucmr5,pfas_detected,max_pfoa_ppt,max_pfos_ppt,max_pfas6_sum_ppt,ever_exceeded_federal_mcl,ever_exceeded_ma_mmcl,predicted_risk_score,risk_category,dist_airport_km,dist_military_km,dist_landfill_km,dist_industrial_km,dist_wwtp_km,landfills_within_5km,industrial_within_5km,is_groundwater,is_mwra,source_type,serves_ej_community,ej_area_fraction,any_income,any_minority,any_english
MA1004000,ADAMS FIRE DISTRICT,CHESHIRE HARBOR 4,ADAMS,42.58874648637144,-73.14108095046403,True,False,,,10.5,False,False,,,11.201063866502036,59.144526518087375,3.1769010296482536,4.232891414198597,4.274754505346381,2,3,True,False,GW,True,0.7561958224459691,True,False,False
MA1004001,,DCR MT GREYLOCK STATE RESERVATION,ADAMS,42.55372083015556,-73.21275230077437,False,,,,,,,0.2009315301169116,Low,6.5808483837765825,60.113134725455495,3.7075752429008704,4.017864104934291,4.30158075839657,3,3,False,False,TNC,False,0.0,False,False,False
MA1005001,,ST ANNE COUNTRY CLUB INC,AGAWAM,42.051029377450334,-72.6648484890565,False,,,,,,,0.3873385240361436,Moderate,1.2943565145084874,12.571941711528634,4.631578708363793,0.6769694930085831,2.71490430619368,1,8,False,False,TNC,False,0.0,False,False,False
MA1006001,,ALFORD SCHOOL,ALFORD,42.236511373612245,-73.41360472401637,False,,,,,,,0.0516798562061387,Low,5.873570781707455,58.33281533193115,2.6009524539219737,11.39625032494886,5.530915367694946,1,0,False,False,NTNC,False,0.0,False,False,False
MA1008000,AMHERST DPW  WATER DIVISION,WELL #6 (07G),AMHERST,42.32228282364069,-72.46843103044229,True,False,,,10.5,False,False,,,4.2653783595523205,14.405411825392834,1.0154559595731771,4.427615857515765,5.18972440128267,3,1,True,False,GW,True,0.6883918401693706,True,True,False
MA1008006,,DCR NOTCH VISITORS CENTER,AMHERST,42.30569860829249,-72.52762910809248,False,,,,,,,0.1565464656570666,Low,6.880291414545191,12.406530073735121,6.497399049809857,5.92733842773946,6.081307945882048,0,0,False,False,TNC,False,0.0,False,False,False
MA1013000,,WELL #1 (01G),ASHFIELD,42.53791553623146,-72.8179352525288,False,,,,,,,0.0090768050220408,Low,18.738409385223438,42.32011270385553,1.9305880638017106,15.58421172731766,1.4310158956308707,2,0,True,False,GW,False,0.0,False,False,False
MA1013001,,SANDERSON ACADEMY,ASHFIELD,42.508426461062356,-72.81402586061287,False,,,,,,,0.0045373210708381,Low,16.284867835981874,39.78711378192345,4.878641252225637,17.107149273913688,2.74038091586788,1,0,False,False,NTNC,False,0.0,False,False,False
MA1013002,,EDGE HILL GOLF COURSE,ASHFIELD,42.551134314871746,-72.78213502296332,False,,,,,,,0.0068673240751351,Low,21.671168692292444,44.03594913732905,1.7592201555243092,12.863961291561715,2.778176392682027,2,0,False,False,TNC,False,0.0,False,False,False
MA1013004,,DOUBLE EDGE THEATRE,ASHFIELD,42.5177941968743,-72.78020560950195,False,,,,,,,0.0049360069608483,Low,18.837455069878054,40.34300824408641,4.2218789244700465,14.552058342937073,1.4752717162633087,1,0,False,False,TNC,False,0.0,False,False,False
MA1015000,ATHOL DPW  WATER DIVISION,SOUTH STREET GRAVEL PACKED WELL,ATHOL,42.58923260073909,-72.23990923033763,True,False,,,10.5,False,False,,,2.5815815884497484,46.60940091097321,1.9854875205357136,0.2044120737867095,1.295885805371504,3,4,True,False,GW,True,0.26777641726992246,True,False,False
MA1015001,,ADAMS FARM SLAUGHTERHOUSE LLC,ATHOL,42.594825319379844,-72.19947702217277,False,,,,,,,0.2710874942621428,Moderate,1.3715952875535062,48.51063955424272,3.628374778676085,2.224511626976872,2.090125867508374,2,3,False,False,NTNC,False,0.0,False,False,False
MA1015002,,MORGAN MEMORIAL FRESH AIR CAMP,ATHOL,42.531086810926716,-72.26126261070223,False,,,,,,,0.2709019442429473,Moderate,4.671157912517776,42.95737546051859,6.170613678143722,3.9764720761811048,6.767517952184373,0,1,False,False,TNC,False,0.0,False,False,False
MA1015004,,SMALL WONDERS PRESCHOOL CENTER,ATHOL,42.61417401645851,-72.2194161934854,False,,,,,,,0.2481635297936356,Low,3.381521608167099,50.42537147122567,1.0602423585944662,2.1957026627450764,2.6846225655666665,2,4,False,False,TNC,False,0.0,False,False,False
MA1015006,,WELL #1,ATHOL,42.5828488010588,-72.18177962452596,False,,,,,,,0.3814352016605973,Moderate,2.2489180295516227,46.92567564685815,5.598033746685364,3.9219706666236527,3.576815278697442,0,2,True,False,GW,True,1.0,True,False,False
MA1022001,,BECKET ROUTE 20 SPRING,BECKET,42.270624712505786,-73.00184858571482,False,,,,,,,0.1599057655869334,Low,5.639912054131725,26.77402204986977,2.480024000622529,10.987112342023943,10.811421064845852,4,0,False,False,TNC,False,0.0,False,False,False
MA1022002,,THE NEON NEWT,BECKET,42.33189388682274,-73.08454639944539,False,,,,,,,0.1311860935301675,Low,4.669015998601792,36.09122873102549,0.5558225361348564,12.990735284187142,12.75299641789705,2,0,False,False,TNC,False,0.0,False,False,False
MA1022004,,PAPA BOBS LLC,BECKET,42.26403335163529,-73.04796584362448,False,,,,,,,0.0446044990331771,Low,5.942207444599602,29.896518189273042,0.8035172583703787,14.421086832615375,8.07948267765406,2,0,False,False,TNC,False,0.0,False,False,False
MA1022006,,CAMP WATITOH,BECKET,42.307368819656425,-73.07027347342631,False,,,,,,,0.104091534825802,Low,3.3045034514612204,33.68338864779707,2.0083085760548363,14.49245354576599,12.103683742732754,2,0,False,False,TNC,False,0.0,False,False,False
MA1022009,,CAMP LENOX,BECKET,42.24870069420488,-73.12000046945188,False,,,,,,,0.0370947350521096,Low,10.43545411794479,34.913405529149074,2.094045864535813,11.836819763481007,5.837727776990678,2,0,False,False,TNC,False,0.0,False,False,False
MA1022010,,SHERWOOD SHOPPE,BECKET,42.254096730891405,-73.0631408493261,False,,,,,,,0.0255545612152365,Low,7.360852659496545,30.651492339323607,1.514109295948728,15.455504386001762,6.542920283866516,2,0,False,False,TNC,False,0.0,False,False,False
MA1022011,,BECKET WASHINGTON SCHOOL,BECKET,42.33110781688896,-73.08249808179332,False,,,,,,,0.1316775120489118,Low,4.479850532182345,35.901875562552384,0.7250147432123754,13.162099071548887,12.867124285382673,2,0,False,False,NTNC,False,0.0,False,False,False
MA1022013,,BERKSHIRE BERRIES,BECKET,42.26442694923226,-73.0725097236794,False,,,,,,,0.0374788237053433,Low,6.650819541623337,31.784910235861588,2.393165424108156,15.018108209609423,7.3904180849807855,3,0,False,False,TNC,False,0.0,False,False,False
