PWSID,pws_name,total_samples,total_results,any_detection,ever_exceeded_federal_mcl,max_pfoa_ppt,max_pfos_ppt,num_pfas_detected,max_pfas6_sum_ppt,ever_exceeded_ma_mmcl
MA4040000,BRAINTREE WATER AND SEWER DEPT.,5,116,True,True,5.3,8.5,5,20.3,True
MA4041000,BREWSTER WATER DEPARTMENT,10,290,False,False,,,0,10.5,False
MA4042000,BRIDGEWATER WATER DEPARTMENT,6,174,True,True,9.0,7.0,7,24.0,True
MA4044000,BROCKTON WATER DEPARTMENT,4,116,False,False,,,0,10.5,False
MA4050000,CANTON WATER DEPT,8,232,True,True,5.0,,4,13.5,False
MA4055000,CHATHAM WATER DEPARTMENT,10,290,False,False,,,0,10.5,False
MA4065000,COHASSET WATER DEPT,3,87,True,True,6.7,4.5,5,17.7,False
MA4072000,DARTMOUTH WATER DIVISION,10,290,True,True,4.2,50.6,7,59.1,True
MA4075000,DENNIS WATER DISTRICT,18,522,True,False,,,2,10.5,False
MA4076000,DIGHTON WATER DISTRICT,4,116,True,True,5.5,4.1000000000000005,4,16.1,False
MA4076004,INIMA USA / AQUARIA LLC,4,116,False,False,,,0,10.5,False
MA4082000,DUXBURY WATER DEPARTMENT,19,464,True,True,7.5,35.0,10,87.0,True
MA4083000,East Bridgewater Water Dept.,7,116,True,True,5.1000000000000005,,3,13.600000000000001,False
MA4086095,TOWN OF EASTHAM,4,116,False,False,,,0,10.5,False
MA4088000,EASTON WATER DIV,8,203,True,True,9.9,16.299999999999997,6,36.9,True
MA4089000,EDGARTOWN WATER DEPARTMENT,11,290,False,False,,,0,10.5,False
MA4094000,FAIRHAVEN WATER DEPT,1,29,False,False,,,0,10.5,False
MA4095000,FALL RIVER WATER DEPARTMENT,5,116,False,False,,,0,10.5,False
MA4096000,FALMOUTH WATER DEPT,18,294,False,False,,,0,10.5,False
MA4096001,OTIS AIR NATIONAL GUARD BASE,2,58,False,False,,,0,10.5,False
MA4099000,FOXBORO WATER DEPARTMENT,6,174,True,True,6.3,6.7,5,19.5,False
MA4118000,HALIFAX WATER DEPARTMENT,6,174,True,True,5.7,,4,16.4,False
MA4122000,"HANOVER WATER DEPT, MA",6,174,True,True,8.9,11.4,7,28.8,True
MA4123000,HANSON WATER DEPARTMENT,2,58,True,True,5.6,4.0,2,16.1,False
MA4126000,HARWICH WATER DEPARTMENT,15,290,False,False,,,0,10.5,False
MA4131000,WEIR RIVER WATER SYSTEM,10,232,True,True,6.4,,5,14.9,False
MA4133000,HOLBROOK PUBLIC WORKS DEPT,5,116,True,True,7.0,11.9,7,25.0,True
MA4145000,KINGSTON WATER DEPARTMENT,5,145,False,False,,,0,10.5,False
