PWSID,dist_airport_m,dist_airport_km,dist_military_m,dist_military_km,dist_landfill_m,dist_landfill_km,dist_wwtp_m,dist_wwtp_km,dist_industrial_m,dist_industrial_km,landfills_within_1km,industrial_within_1km,landfills_within_3km,industrial_within_3km,landfills_within_5km,industrial_within_5km,landfills_within_10km,industrial_within_10km,is_groundwater,is_mwra,source_type,SITE_NAME,TOWN,num_sources,pws_name,total_samples,total_results,any_detection,ever_exceeded_federal_mcl,max_pfoa_ppt,max_pfos_ppt,num_pfas_detected,max_pfas6_sum_ppt,ever_exceeded_ma_mmcl,in_ucmr5,pfas_detected,serves_ej_community,ej_area_fraction,ej_population_overlapped,any_income,any_minority,any_english,ej_criteria_distinct
MA4293000,3462.2897111528314,3.4622897111528315,33417.66610612302,33.41766610612302,1811.6674953132624,1.811667495313262,954.1536087261876,0.9541536087261876,574.1431366533473,0.5741431366533473,0,2,1,13,3,14,11,48,1,0,SW,LITTLE QUITTACAS (5),TAUNTON,8,TAUNTON WATER DIVISION,5.0,116.0,False,False,,,0.0,10.5,False,True,0,1,0.2794884436291491,31898.0,1,1,0,2
MA4296000,3391.950356445034,3.391950356445034,24881.26047518877,24.88126047518877,252.6976689399304,0.2526976689399304,1181.8476047367842,1.1818476047367843,1818.2077492890296,1.8182077492890296,2,0,2,2,4,3,6,8,1,0,GW,MANTER WELL,TISBURY,3,TISBURY WATER WORKS,6.0,174.0,False,False,,,0.0,10.5,False,True,0,1,0.8036377325871227,3712.0,1,1,0,3
MA4307000,3799.318652281616,3.799318652281616,18685.05038977081,18.68505038977081,1782.383430327829,1.782383430327829,1451.451591040815,1.451451591040815,699.6585269008922,0.6996585269008921,0,2,3,12,4,18,16,70,1,0,GW,MINE BROOK 1A GP WELL,WALPOLE,18,WALPOLE WATER DEPT,5.0,116.0,True,False,4.0,4.0,6.0,16.0,False,True,1,1,0.114096668208377,15697.0,0,1,1,2
MA4310000,1397.7772082808376,1.3977772082808375,16450.99187719151,16.450991877191512,2984.58183254196,2.98458183254196,4316.5057863057655,4.316505786305766,2657.552921520858,2.657552921520858,0,0,1,2,2,9,6,22,1,0,GW,SOUTH LINE WELL 8,WAREHAM,10,WAREHAM FIRE DISTRICT,4.0,116.0,False,False,,,0.0,10.5,False,True,0,1,0.1525569491447015,9071.0,1,1,0,2
MA4310003,3743.358162674695,3.743358162674695,13169.432891667007,13.169432891667007,5514.218017438007,5.514218017438007,2714.954939025724,2.714954939025724,393.0250987779963,0.3930250987779963,0,2,0,4,0,6,6,20,1,0,GW,WELL # 5,WAREHAM,6,ONSET FIRE DISTRICT,4.0,116.0,True,True,,7.1000000000000005,1.0,15.6,False,True,1,1,0.2430929830766778,1617.0,1,0,0,1
MA4322000,1337.5330098454542,1.3375330098454543,41284.13634825416,41.28413634825416,2461.432494556388,2.461432494556388,3244.0976557702406,3.244097655770241,887.0816329815095,0.8870816329815095,0,1,1,4,4,16,16,57,1,0,GW,NORMAN  2,WEST BRIDGEWATER,7,WEST BRIDGEWATER WATER DEPT,8.0,232.0,True,True,5.5,,5.0,14.0,False,True,1,1,2.6805051094695615e-05,6867.0,0,1,0,1
MA4336000,2821.536421544564,2.821536421544564,35051.54851893397,35.05154851893397,723.8631677211737,0.7238631677211737,446.9506104401432,0.4469506104401432,147.27324887616737,0.1472732488761673,1,6,3,17,6,40,17,124,1,0,GW,WHITMANS POND,WEYMOUTH,8,WEYMOUTH WATER DEPARTMENT,6.0,174.0,True,False,,,1.0,10.5,False,True,1,1,0.3493240290253781,27943.0,1,1,1,4
MA4338000,7957.36372098779,7.957363720987789,44852.53702729539,44.85253702729539,2686.697236866585,2.686697236866585,2245.913934120073,2.245913934120073,2686.1782662416176,2.6861782662416176,0,0,2,2,3,9,14,44,0,0,PW,BEAR MEADOW BEDROCK WELL,WHITMAN,1,WHITMAN WATER SYSTEM,4.0,116.0,True,False,,,4.0,10.5,False,True,1,1,3.0647069883095344e-08,2481.0,1,1,1,1
MA4350000,3739.791511953831,3.739791511953831,26878.30011917197,26.87830011917197,1077.1415462792063,1.0771415462792064,1511.2896996236966,1.5112896996236966,1420.433186800958,1.420433186800958,0,0,4,4,7,15,14,60,1,0,GW,FRANKLIN ST. WELL  3,WRENTHAM,5,WRENTHAM WATER DIVISION,6.0,174.0,True,True,5.7,4.4,5.0,16.6,False,True,1,0,0.0,0.0,0,0,0,0
MA4351000,2440.129372690741,2.440129372690741,22393.54391666953,22.39354391666953,956.2927192293458,0.956292719229346,1102.7506490656765,1.1027506490656764,684.4073708127929,0.6844073708127929,1,1,1,10,3,29,5,34,1,0,GW,GP WELL  9,YARMOUTH,24,YARMOUTH WATER DEPARTMENT,31.0,870.0,True,False,,,5.0,16.7,False,True,1,1,0.2276333660790611,8182.0,1,1,0,3
